,Sentence Codes,Context sentence,Target sentence,Judgments
1,F1_1,小璐从小周那里借了三把伞。,他坏了。,bad
2,F1_2,小璐从小周那里借了三把伞。,三把伞都坏了。,good
3,F2_1,小赵每天放学回家的时候，...,它妈妈都会做好晚饭。,bad
4,F2_2,小赵每天放学回家的时候，...,她妈妈都会做好晚饭。,good
5,F3_1,每次小鹏搬入新家，...,他都会把墙刷成绿色。,good
6,F3_2,每次小鹏搬入新家，...,它都会把墙刷成绿色。,bad
7,F4_1,小鹏从图书馆借了三本书。,三本书都很重。,good
8,F4_2,小鹏从图书馆借了三本书。,它们都很重。,good
9,F5_1,小文读了三本小说。,三本小说都很有趣。,good
10,F5_2,小文读了三本小说。,它们都很有趣。,good
11,F6_1,小蒋做了两只蛋糕。,两只蛋糕都很好吃。,good
12,F6_2,小蒋做了两只蛋糕。,它们都很好吃。,good
13,F7_1,小赵洗了所有的碗。,他把它们洗干净了。,good
14,F7_2,小赵洗了所有的碗。,他把她们洗干净了。,bad
15,F8_1,小高买了两盆盆栽。,他每天给它们浇水。,good
16,F8_2,小高买了两盆盆栽。,他每天给他浇水。,bad
17,F9_1,小柳参加了两场摄影展，...,他觉得两场都很好。,good
18,F9_2,小柳参加了两场摄影展，...,他觉得他们都很好。,bad
19,F10_1,一个小女孩坐在公园里，...,它看上去不开心。,bad
20,F10_2,一个小女孩坐在公园里，...,它们看上去不开心。,bad
21,F11_1,小梁上周和朋友们一起春游了，...,它们让小梁很开心。,bad
22,F11_2,小梁上周和朋友们一起春游了，...,它让小梁很开心。,bad
23,F12_1,小宫昨晚唱了三首歌，...,他们都很好听。,bad
24,F12_2,小宫昨晚唱了三首歌，...,她们都很好听。,bad
