ID,Situation,NP,Scenario,Syntactic_Position,Definiteness,Rating
1,New_Situation,One,IN1,Object,That,82
1,New_Situation,One,IN5,Object,That,76
1,New_Situation,One,AN3,Object,That,88
2,New_Situation,One,IN4,Subject,That,81
2,New_Situation,One,AN2,Object,That,62
2,New_Situation,One,AN6,Object,That,88
3,New_Situation,One,IN3,Object,That,58
3,New_Situation,One,AN1,Subject,That,5
3,New_Situation,One,AN5,Subject,That,8
4,New_Situation,One,IN3,Object,That,87
4,New_Situation,One,AN1,Subject,That,92
4,New_Situation,One,AN5,Subject,That,72
5,New_Situation,One,IN1,Object,That,12
5,New_Situation,One,IN5,Object,That,74
5,New_Situation,One,AN3,Object,That,76
6,New_Situation,One,IN2,Object,That,26
6,New_Situation,One,IN6,Object,That,80
6,New_Situation,One,AN4,Object,That,79
7,New_Situation,One,IN4,Subject,That,77
7,New_Situation,One,AN2,Object,That,83
7,New_Situation,One,AN6,Object,That,89
8,New_Situation,One,IN4,Subject,That,65
8,New_Situation,One,AN2,Object,That,42
8,New_Situation,One,AN6,Object,That,68
9,New_Situation,One,IN2,Object,That,80
9,New_Situation,One,IN6,Object,That,83
9,New_Situation,One,AN4,Object,That,79
10,New_Situation,One,IN1,Object,That,81
10,New_Situation,One,IN5,Object,That,63
10,New_Situation,One,AN3,Object,That,72
11,New_Situation,One,IN4,Subject,That,93
11,New_Situation,One,AN2,Object,That,89
11,New_Situation,One,AN6,Object,That,81
12,New_Situation,One,IN2,Object,That,94
12,New_Situation,One,IN6,Object,That,84
12,New_Situation,One,AN4,Object,That,95
13,New_Situation,One,IN3,Object,That,60
13,New_Situation,One,AN1,Subject,That,29
13,New_Situation,One,AN5,Subject,That,71
14,New_Situation,One,IN1,Object,That,33
14,New_Situation,One,IN5,Object,That,84
14,New_Situation,One,AN3,Object,That,24
16,New_Situation,One,IN2,Object,That,80
16,New_Situation,One,IN6,Object,That,86
16,New_Situation,One,AN4,Object,That,70
17,New_Situation,One,IN4,Subject,That,89
17,New_Situation,One,AN2,Object,That,90
17,New_Situation,One,AN6,Object,That,91
18,New_Situation,One,IN1,Object,That,13
18,New_Situation,One,IN5,Object,That,44
18,New_Situation,One,AN3,Object,That,87
19,New_Situation,One,IN2,Object,That,85
19,New_Situation,One,IN6,Object,That,83
19,New_Situation,One,AN4,Object,That,84
20,New_Situation,One,IN1,Object,That,78
20,New_Situation,One,IN5,Object,That,67
20,New_Situation,One,AN3,Object,That,80
21,New_Situation,One,IN4,Subject,That,82
21,New_Situation,One,AN2,Object,That,79
21,New_Situation,One,AN6,Object,That,83
22,New_Situation,One,IN1,Object,That,13
22,New_Situation,One,IN5,Object,That,0
22,New_Situation,One,AN3,Object,That,35
23,New_Situation,One,IN3,Object,That,71
23,New_Situation,One,AN1,Subject,That,87
23,New_Situation,One,AN5,Subject,That,77
24,New_Situation,One,IN4,Subject,That,60
24,New_Situation,One,AN2,Object,That,80
24,New_Situation,One,AN6,Object,That,85
25,New_Situation,One,IN3,Object,That,82
25,New_Situation,One,AN1,Subject,That,88
25,New_Situation,One,AN5,Subject,That,84
26,New_Situation,One,IN2,Object,That,86
26,New_Situation,One,IN6,Object,That,82
26,New_Situation,One,AN4,Object,That,90
27,New_Situation,One,IN3,Object,That,84
27,New_Situation,One,AN1,Subject,That,79
27,New_Situation,One,AN5,Subject,That,90
28,New_Situation,One,IN1,Object,That,91
28,New_Situation,One,IN5,Object,That,91
28,New_Situation,One,AN3,Object,That,88
29,New_Situation,One,IN4,Subject,That,91
29,New_Situation,One,AN2,Object,That,60
29,New_Situation,One,AN6,Object,That,93
30,New_Situation,One,IN2,Object,That,95
30,New_Situation,One,IN6,Object,That,89
30,New_Situation,One,AN4,Object,That,95
31,New_Situation,One,IN1,Object,That,89
31,New_Situation,One,IN5,Object,That,99
31,New_Situation,One,AN3,Object,That,9
32,New_Situation,One,IN2,Object,That,84
32,New_Situation,One,IN6,Object,That,88
32,New_Situation,One,AN4,Object,That,91
33,New_Situation,One,IN3,Object,That,92
33,New_Situation,One,AN1,Subject,That,91
33,New_Situation,One,AN5,Subject,That,93
34,New_Situation,One,IN4,Subject,That,47
34,New_Situation,One,AN2,Object,That,97
34,New_Situation,One,AN6,Object,That,100
35,New_Situation,One,IN3,Object,That,60
35,New_Situation,One,AN1,Subject,That,79
35,New_Situation,One,AN5,Subject,That,85
36,New_Situation,One,IN2,Object,That,100
36,New_Situation,One,IN6,Object,That,100
36,New_Situation,One,AN4,Object,That,100
37,New_Situation,One,IN1,Object,That,80
37,New_Situation,One,IN5,Object,That,91
37,New_Situation,One,AN3,Object,That,79
38,New_Situation,One,IN1,Object,That,90
38,New_Situation,One,IN5,Object,That,81
38,New_Situation,One,AN3,Object,That,92
39,New_Situation,One,IN4,Subject,That,0
39,New_Situation,One,AN2,Object,That,0
39,New_Situation,One,AN6,Object,That,100
40,New_Situation,One,IN2,Object,That,77
40,New_Situation,One,IN6,Object,That,15
40,New_Situation,One,AN4,Object,That,67
41,New_Situation,One,IN3,Object,That,92
41,New_Situation,One,AN1,Subject,That,92
41,New_Situation,One,AN5,Subject,That,81
42,New_Situation,One,IN1,Object,That,100
42,New_Situation,One,IN5,Object,That,67
42,New_Situation,One,AN3,Object,That,94
43,New_Situation,One,IN3,Object,That,94
43,New_Situation,One,AN1,Subject,That,96
43,New_Situation,One,AN5,Subject,That,93
44,New_Situation,One,IN2,Object,That,90
44,New_Situation,One,IN6,Object,That,94
44,New_Situation,One,AN4,Object,That,95
45,New_Situation,One,IN4,Subject,That,71
45,New_Situation,One,AN2,Object,That,79
45,New_Situation,One,AN6,Object,That,88
46,New_Situation,One,IN1,Object,That,93
46,New_Situation,One,IN5,Object,That,37
46,New_Situation,One,AN3,Object,That,75
47,New_Situation,One,IN2,Object,That,69
47,New_Situation,One,IN6,Object,That,72
47,New_Situation,One,AN4,Object,That,91
48,New_Situation,One,IN3,Object,That,96
48,New_Situation,One,AN1,Subject,That,62
48,New_Situation,One,AN5,Subject,That,77
49,New_Situation,One,IN4,Subject,That,17
49,New_Situation,One,AN2,Object,That,0
49,New_Situation,One,AN6,Object,That,100
50,New_Situation,One,IN3,Object,That,35
50,New_Situation,One,AN1,Subject,That,87
50,New_Situation,One,AN5,Subject,That,28
51,New_Situation,One,IN2,Object,That,83
51,New_Situation,One,IN6,Object,That,83
51,New_Situation,One,AN4,Object,That,100
52,New_Situation,One,IN1,Object,That,80
52,New_Situation,One,IN5,Object,That,4
52,New_Situation,One,AN3,Object,That,66
53,New_Situation,One,IN4,Subject,That,89
53,New_Situation,One,AN2,Object,That,81
53,New_Situation,One,AN6,Object,That,85
54,New_Situation,One,IN3,Object,That,92
54,New_Situation,One,AN1,Subject,That,0
54,New_Situation,One,AN5,Subject,That,88
55,New_Situation,One,IN2,Object,That,93
55,New_Situation,One,IN6,Object,That,91
55,New_Situation,One,AN4,Object,That,93
56,New_Situation,One,IN4,Subject,That,90
56,New_Situation,One,AN2,Object,That,93
56,New_Situation,One,AN6,Object,That,96
57,New_Situation,One,IN1,Object,That,84
57,New_Situation,One,IN5,Object,That,63
57,New_Situation,One,AN3,Object,That,67
58,New_Situation,One,IN2,Object,That,91
58,New_Situation,One,IN6,Object,That,88
