"ID","Situation","Referents","Animacy","Syntactic_Position","Definiteness","Rating"
1,"New_Situation","Two","IN1","Object","That",24
1,"New_Situation","Two","IN1","Object","The",100
1,"Same_Situation","One","IN2","Subject","The",100
1,"Same_Situation","One","IN2","Subject","That",82
1,"Same_Situation","Two","IN3","Subject","The",100
1,"Same_Situation","Two","IN3","Subject","That",17
1,"New_Situation","One","IN4","Object","That",75
1,"New_Situation","One","IN4","Object","The",100
1,"New_Situation","Two","IN5","Object","The",100
1,"New_Situation","Two","IN5","Object","That",12
1,"Same_Situation","One","IN6","Subject","The",100
1,"Same_Situation","One","IN6","Subject","That",78
1,"Same_Situation","Two","AN1","Subject","That",6
1,"Same_Situation","Two","AN1","Subject","The",100
1,"New_Situation","One","AN2","Object","The",100
1,"New_Situation","One","AN2","Object","That",77
1,"New_Situation","Two","AN3","Object","The",96
1,"New_Situation","Two","AN3","Object","That",33
1,"Same_Situation","One","AN4","Subject","That",85
1,"Same_Situation","One","AN4","Subject","The",100
1,"Same_Situation","Two","AN5","Subject","That",54
1,"Same_Situation","Two","AN5","Subject","The",98
1,"New_Situation","One","AN6","Subject","That",80
1,"New_Situation","One","AN6","Subject","The",98
2,"New_Situation","One","IN1","Object","The",100
2,"New_Situation","One","IN1","Object","That",80
2,"New_Situation","Two","IN2","Object","The",92
2,"New_Situation","Two","IN2","Object","That",14
2,"Same_Situation","One","IN3","Subject","That",80
2,"Same_Situation","One","IN3","Subject","The",100
2,"Same_Situation","Two","IN4","Subject","The",92
2,"Same_Situation","Two","IN4","Subject","That",2
2,"New_Situation","One","IN5","Object","The",95
2,"New_Situation","One","IN5","Object","That",80
2,"New_Situation","Two","IN6","Subject","That",20
2,"New_Situation","Two","IN6","Subject","The",95
2,"Same_Situation","One","AN1","Subject","The",97
2,"Same_Situation","One","AN1","Subject","That",98
2,"Same_Situation","Two","AN2","Subject","The",91
2,"Same_Situation","Two","AN2","Subject","That",18
2,"New_Situation","One","AN3","Object","That",87
2,"New_Situation","One","AN3","Object","The",100
2,"New_Situation","Two","AN4","Subject","That",28
2,"New_Situation","Two","AN4","Subject","The",96
2,"Same_Situation","One","AN5","Subject","That",85
2,"Same_Situation","One","AN5","Subject","The",100
2,"Same_Situation","Two","AN6","Subject","That",15
2,"Same_Situation","Two","AN6","Subject","The",91
3,"Same_Situation","Two","IN1","Object","The",95
3,"Same_Situation","Two","IN1","Object","That",12
3,"New_Situation","One","IN2","Object","That",82
3,"New_Situation","One","IN2","Object","The",100
3,"New_Situation","Two","IN3","Object","The",93
3,"New_Situation","Two","IN3","Object","That",16
3,"Same_Situation","One","IN4","Subject","The",99
3,"Same_Situation","One","IN4","Subject","That",70
3,"Same_Situation","Two","IN5","Subject","That",89
3,"Same_Situation","Two","IN5","Subject","The",100
3,"New_Situation","One","IN6","Subject","That",91
3,"New_Situation","One","IN6","Subject","The",100
3,"New_Situation","Two","AN1","Subject","That",11
3,"New_Situation","Two","AN1","Subject","The",94
3,"Same_Situation","One","AN2","Subject","That",90
3,"Same_Situation","One","AN2","Subject","The",100
3,"Same_Situation","Two","AN3","Subject","That",14
3,"Same_Situation","Two","AN3","Subject","The",99
3,"New_Situation","One","AN4","Subject","The",95
3,"New_Situation","One","AN4","Subject","That",86
3,"New_Situation","Two","AN5","Object","The",92
3,"New_Situation","Two","AN5","Object","That",21
3,"Same_Situation","One","AN6","Subject","The",98
3,"Same_Situation","One","AN6","Subject","That",90
4,"Same_Situation","One","IN1","Subject","That",43
4,"Same_Situation","One","IN1","Subject","The",90
4,"Same_Situation","Two","IN2","Subject","That",35
4,"Same_Situation","Two","IN2","Subject","The",92
4,"New_Situation","One","IN3","Object","That",41
4,"New_Situation","One","IN3","Object","The",90
4,"New_Situation","Two","IN4","Object","That",39
4,"New_Situation","Two","IN4","Object","The",97
4,"Same_Situation","One","IN5","Subject","That",64
4,"Same_Situation","One","IN5","Subject","The",85
4,"Same_Situation","Two","IN6","Subject","The",95
4,"Same_Situation","Two","IN6","Subject","That",66
4,"New_Situation","One","AN1","Subject","The",90
4,"New_Situation","One","AN1","Subject","That",37
4,"New_Situation","Two","AN2","Object","That",47
4,"New_Situation","Two","AN2","Object","The",90
4,"Same_Situation","One","AN3","Subject","The",95
4,"Same_Situation","One","AN3","Subject","That",58
4,"Same_Situation","Two","AN4","Subject","The",95
4,"Same_Situation","Two","AN4","Subject","That",57
4,"New_Situation","One","AN5","Object","The",95
4,"New_Situation","One","AN5","Object","That",60
4,"New_Situation","Two","AN6","Subject","The",95
4,"New_Situation","Two","AN6","Subject","That",58
5,"Same_Situation","One","IN1","Subject","That",16
5,"Same_Situation","One","IN1","Subject","The",100
5,"Same_Situation","Two","IN2","Subject","That",77
5,"Same_Situation","Two","IN2","Subject","The",100
5,"New_Situation","One","IN3","Object","That",100
5,"New_Situation","One","IN3","Object","The",100
5,"New_Situation","Two","IN4","Object","That",100
5,"New_Situation","Two","IN4","Object","The",100
5,"Same_Situation","One","IN5","Subject","That",69
5,"Same_Situation","One","IN5","Subject","The",100
5,"Same_Situation","Two","IN6","Subject","The",100
5,"Same_Situation","Two","IN6","Subject","That",81
5,"New_Situation","One","AN1","Subject","The",100
5,"New_Situation","One","AN1","Subject","That",100
5,"New_Situation","Two","AN2","Object","That",100
5,"New_Situation","Two","AN2","Object","The",100
5,"Same_Situation","One","AN3","Subject","The",100
5,"Same_Situation","One","AN3","Subject","That",22
5,"Same_Situation","Two","AN4","Subject","The",100
5,"Same_Situation","Two","AN4","Subject","That",65
5,"New_Situation","One","AN5","Object","The",100
5,"New_Situation","One","AN5","Object","That",100
5,"New_Situation","Two","AN6","Subject","The",100
5,"New_Situation","Two","AN6","Subject","That",100
6,"Same_Situation","Two","IN1","Object","The",100
6,"Same_Situation","Two","IN1","Object","That",60
6,"New_Situation","One","IN2","Object","That",100
6,"New_Situation","One","IN2","Object","The",87
6,"New_Situation","Two","IN3","Object","The",100
6,"New_Situation","Two","IN3","Object","That",66
6,"Same_Situation","One","IN4","Subject","The",100
6,"Same_Situation","One","IN4","Subject","That",78
6,"Same_Situation","Two","IN5","Subject","That",84
6,"Same_Situation","Two","IN5","Subject","The",100
6,"New_Situation","One","IN6","Subject","That",100
6,"New_Situation","One","IN6","Subject","The",89
6,"New_Situation","Two","AN1","Subject","That",100
6,"New_Situation","Two","AN1","Subject","The",66
6,"Same_Situation","One","AN2","Subject","That",100
6,"Same_Situation","One","AN2","Subject","The",72
6,"Same_Situation","Two","AN3","Subject","That",90
6,"Same_Situation","Two","AN3","Subject","The",100
6,"New_Situation","One","AN4","Subject","The",100
6,"New_Situation","One","AN4","Subject","That",85
6,"New_Situation","Two","AN5","Object","The",100
6,"New_Situation","Two","AN5","Object","That",59
6,"Same_Situation","One","AN6","Subject","The",100
6,"Same_Situation","One","AN6","Subject","That",96
7,"New_Situation","One","IN1","Object","The",94
7,"New_Situation","One","IN1","Object","That",56
7,"New_Situation","Two","IN2","Object","The",100
7,"New_Situation","Two","IN2","Object","That",37
7,"Same_Situation","One","IN3","Subject","That",63
7,"Same_Situation","One","IN3","Subject","The",97
7,"Same_Situation","Two","IN4","Subject","The",100
7,"Same_Situation","Two","IN4","Subject","That",0
7,"New_Situation","One","IN5","Object","The",100
7,"New_Situation","One","IN5","Object","That",93
7,"New_Situation","Two","IN6","Subject","That",100
7,"New_Situation","Two","IN6","Subject","The",81
7,"Same_Situation","One","AN1","Subject","The",12
7,"Same_Situation","One","AN1","Subject","That",34
7,"Same_Situation","Two","AN2","Subject","The",100
7,"Same_Situation","Two","AN2","Subject","That",11
7,"New_Situation","One","AN3","Object","That",63
7,"New_Situation","One","AN3","Object","The",93
7,"New_Situation","Two","AN4","Subject","That",81
7,"New_Situation","Two","AN4","Subject","The",54
7,"Same_Situation","One","AN5","Subject","That",87
7,"Same_Situation","One","AN5","Subject","The",67
7,"Same_Situation","Two","AN6","Subject","That",62
7,"Same_Situation","Two","AN6","Subject","The",100
8,"New_Situation","Two","IN1","Object","That",50
8,"New_Situation","Two","IN1","Object","The",100
8,"Same_Situation","One","IN2","Subject","The",100
8,"Same_Situation","One","IN2","Subject","That",100
8,"Same_Situation","Two","IN3","Subject","The",100
8,"Same_Situation","Two","IN3","Subject","That",100
8,"New_Situation","One","IN4","Object","That",100
8,"New_Situation","One","IN4","Object","The",90
8,"New_Situation","Two","IN5","Object","The",100
8,"New_Situation","Two","IN5","Object","That",100
8,"Same_Situation","One","IN6","Subject","The",100
8,"Same_Situation","One","IN6","Subject","That",95
8,"Same_Situation","Two","AN1","Subject","That",60
8,"Same_Situation","Two","AN1","Subject","The",100
8,"New_Situation","One","AN2","Object","The",100
8,"New_Situation","One","AN2","Object","That",50
8,"New_Situation","Two","AN3","Object","The",100
8,"New_Situation","Two","AN3","Object","That",0
8,"Same_Situation","One","AN4","Subject","That",100
8,"Same_Situation","One","AN4","Subject","The",90
8,"Same_Situation","Two","AN5","Subject","That",100
8,"Same_Situation","Two","AN5","Subject","The",100
8,"New_Situation","One","AN6","Subject","That",100
