Sentence ID,Sentence Codes,Context sentence,Target sentence,Target left context,Left context,Critical,Right context,Situation type,NP,Item,SubjObj,Definiteness
1,SS_1NP_IN1_S_Def,Amy found a flag in the garage.,The flag was very big.,,Amy found a flag in the garage.,The,flag was very big.,SS,1NP,IN1,S,Def
2,SS_1NP_IN1_S_Dem,Amy found a flag in the garage.,That flag was very big.,,Amy found a flag in the garage.,That,flag was very big.,SS,1NP,IN1,S,Dem
3,NS_1NP_IN1_O_Def,Amy found a flag in the garage.,Julie will take the flag to the parade next week.,Julie will take,Amy found a flag in the garage. Julie will take,the,flag to the parade next week.,NS,1NP,IN1,O,Def
4,NS_1NP_IN1_O_Dem,Amy found a flag in the garage.,Julie will take that flag to the parade next week.,Julie will take,Amy found a flag in the garage. Julie will take,that,flag to the parade next week.,NS,1NP,IN1,O,Dem
5,SS_2NP_IN1_S_Def,Amy found a flag and a banner in the garage.,The flag was very big.,,Amy found a flag and a banner in the garage.,The,flag was very big.,SS,2NP,IN1,S,Def
6,SS_2NP_IN1_S_Dem,Amy found a flag and a banner in the garage.,That flag was very big.,,Amy found a flag and a banner in the garage.,That,flag was very big.,SS,2NP,IN1,S,Dem
7,NS_2NP_IN1_O_Def,Amy found a flag and a banner in the garage.,Julie will take the flag to the parade next week.,Julie will take,Amy found a flag and a banner in the garage. Julie will take,the,flag to the parade next week.,NS,2NP,IN1,O,Def
8,NS_2NP_IN1_O_Dem,Amy found a flag and a banner in the garage.,Julie will take that flag to the parade next week.,Julie will take,Amy found a flag and a banner in the garage. Julie will take,that,flag to the parade next week.,NS,2NP,IN1,O,Dem
9,SS_1NP_IN2_S_Def,Ben bought a book.,The book was expensive.,,Ben bought a book.,The,book was expensive.,SS,1NP,IN2,S,Def
10,SS_1NP_IN2_S_Dem,Ben bought a book.,That book was expensive.,,Ben bought a book.,That,book was expensive.,SS,1NP,IN2,S,Dem
11,NS_1NP_IN2_O_Def,Ben bought a book.,He lent the book to Linda a few days later.,He lent,Ben bought a book. He lent,the,book to Linda a few days later.,NS,1NP,IN2,O,Def
