,Sentence Codes,Context sentence,Target sentence
1,SS_1NP_IN1_S_Def,Shyam aaj bajar-e giye ekta ilish maachh kinechhe.,ilish maachh-ta besh shoshtay peyechhe.
2,SS_1NP_IN1_S_Dem,Shyam aaj bajar-e giye ekta ilish maachh kinechhe.,shei ilish maachh-ta besh shoshtay peyechhe.
3,NS_1NP_IN1_O_Def,Shyam aaj bajar-e giye ekta ilish maachh kinechhe.,Neera ilish maachh-ta porshu din banabe.
4,NS_1NP_IN1_O_Dem,Shyam aaj bajar-e giye ekta ilish maachh kinechhe.,Neera shei ilish maachh-ta porshu din banabe.
5,SS_2NP_IN1_O_Def,Shyam aaj bajar-e giye ekta katla maachh aar ekta ilish maachh kinechhe.,ilish maachh-ta besh shoshtay peyechhe.
6,SS_2NP_IN1_O_Dem,Shyam aaj bajar-e giye ekta katla maachh aar ekta ilish maachh kinechhe.,shei ilish maachh-ta besh shoshtay peyechhe.
7,NS_2NP_IN1_O_Def,Shyam aaj bajar-e giye ekta katla maachh aar ekta ilish maachh kinechhe.,Neera ilish maachh-ta porshu din banabe.
8,NS_2NP_IN1_O_Dem,Shyam aaj bajar-e giye ekta katla maachh aar ekta ilish maachh kinechhe.,Neera shei ilish maachh-ta porshu din banabe.
9,SS_1NP_IN2_S_Def,Konkona goto bochhor boimela theke ekta uponyash kinechilo.,uponyash-ta besh mota chhilo.
10,SS_1NP_IN2_S_Dem,Konkona goto bochhor boimela theke ekta uponyash kinechilo.,shei uponyash-ta besh mota chhilo.
11,NS_1NP_IN2_O_Def,Konkona goto bochhor boimela theke ekta uponyash kinechilo.,kichhu din por uponyash-ta o Tania-ke porte diyechhilo.
12,NS_1NP_IN2_O_Dem,Konkona goto bochhor boimela theke ekta uponyash kinechilo.,kichhu din por shei uponyash-ta o Tania-ke porte diyechhilo.
13,SS_2NP_IN2_S_Def,Konkona goto bochhor boimela theke ekta uponyash aar ekta golpo-guchho kinechilo.,uponyash-ta besh mota chhilo.
14,SS_2NP_IN2_S_Dem,Konkona goto bochhor boimela theke ekta uponyash aar ekta golpo-guchho kinechilo.,shei uponyash-ta besh mota chhilo.
15,NS_2NP_IN2_O_Def,Konkona goto bochhor boimela theke ekta uponyash aar ekta golpo-guchho kinechilo.,kichhu din por uponyash-ta o Tania-ke porte diyechhilo.
16,NS_2NP_IN2_O_Dem,Konkona goto bochhor boimela theke ekta uponyash aar ekta golpo-guchho kinechilo.,kichhu din por shei uponyash-ta o Tania-ke porte diyechhilo.
17,SS_1NP_IN3_S_Def,Arpan bikele ghurte beriye ekta cake kine enechhe.,cake-ta eto boro je dujon khete pare.
18,SS_1NP_IN3_S_Dem,Arpan bikele ghurte beriye ekta cake kine enechhe.,shei cake-ta eto boro je dujon khete pare.
19,NS_1NP_IN3_O_Def,Arpan bikele ghurte beriye ekta cake kine enechhe.,Arpan-er bon cake-ta kalke jolkhabare khabe.
20,NS_1NP_IN3_O_Dem,Arpan bikele ghurte beriye ekta cake kine enechhe.,Arpan-er bon shei cake-ta kalke jolkhabare khabe.
21,SS_2NP_IN3_S_Def,Arpan bikele ghurte beriye ekta chicken kabiraji aar ekta cake kine enechhe.,cake-ta eto boro je dujon khete pare.
22,SS_2NP_IN3_S_Dem,Arpan bikele ghurte beriye ekta chicken kabiraji aar ekta cake kine enechhe.,shei cake-ta eto boro je dujon khete pare.
23,NS_2NP_IN3_O_Def,Arpan bikele ghurte beriye ekta chicken kabiraji aar ekta cake kine enechhe.,Arpan-er bon cake-ta kalke jolkhabare khabe.
24,NS_2NP_IN3_O_Dem,Arpan bikele ghurte beriye ekta chicken kabiraji aar ekta cake kine enechhe.,Arpan-er bon shei cake-ta kalke jolkhabare khabe.
25,SS_1NP_IN4_S_Def,Mala robibar ekta cinema dekhte giyechhilo.,cinema-ta Nandan-e hochhilo.
26,SS_1NP_IN4_S_Dem,Mala robibar ekta cinema dekhte giyechhilo.,shei cinema-ta Nandan-e hochhilo.
27,NS_1NP_IN4_O_Def,Mala robibar ekta cinema dekhte giyechhilo.,cinema-ta Mala-r bondhura aagei dekhe eshechhilo.
28,NS_1NP_IN4_O_Dem,Mala robibar ekta cinema dekhte giyechhilo.,shei cinema-ta Mala-r bondhura aagei dekhe eshechhilo.
29,SS_2NP_IN4_S_Def,Mala robibar ekta cinema aar ekta natok dekhte giyechhilo.,cinema-ta Nandan-e hochhilo.
