,Sentence Codes,Context sentence,Target sentence
1,SS_1NP_IN1_S_Def,Selin garajda bir bayrak buldu.,Bayrak çok büyüktü.
2,SS_1NP_IN1_S_Dem,Selin garajda bir bayrak buldu.,O bayrak çok büyüktü.
3,NS_1NP_IN1_O_Def,Selin garajda bir bayrak buldu.,Ayten bayrağı önümüzdeki hafta onur yürüyüşüne götürecek.
4,NS_1NP_IN1_O_Dem,Selin garajda bir bayrak buldu.,Ayten o bayrağı önümüzdeki hafta onur yürüyüşüne götürecek.
5,SS_2NP_IN1_S_Def,Selin garajda bir bayrak ve bir afiş buldu.,Bayrak çok büyüktü.
6,SS_2NP_IN1_S_Dem,Selin garajda bir bayrak ve bir afiş buldu.,O bayrak çok büyüktü.
7,NS_2NP_IN1_O_Def,Selin garajda bir bayrak ve bir afiş buldu.,Ayten bayrağı önümüzdeki hafta onur yürüyüşüne götürecek.
8,NS_2NP_IN1_O_Dem,Selin garajda bir bayrak ve bir afiş buldu.,Ayten o bayrağı önümüzdeki hafta onur yürüyüşüne götürecek.
9,SS_1NP_IN2_S_Def,Kerim D&R'dan bir kitap aldı.,Kitap çok pahalıydı.
10,SS_1NP_IN2_S_Dem,Kerim D&R'dan bir kitap aldı.,O kitap çok pahalıydı.
11,NS_1NP_IN2_O_Def,Kerim D&R'dan bir kitap aldı.,Bir kaç gün sonra kitabı Selin'e ödünç verdi.
12,NS_1NP_IN2_O_Dem,Kerim D&R'dan bir kitap aldı.,Bir kaç gün sonra o kitabı Selin'e ödünç verdi.
13,SS_2NP_IN2_S_Def,Kerim D&R'dan bir kitap ve bir dergi aldı.,Kitap çok pahalıydı.
14,SS_2NP_IN2_S_Dem,Kerim D&R'dan bir kitap ve bir dergi aldı.,O kitap çok pahalıydı.
15,NS_2NP_IN2_O_Def,Kerim D&R'dan bir kitap ve bir dergi aldı.,Bir kaç gün sonra kitabı Selin'e ödünç verdi.
16,NS_2NP_IN2_O_Dem,Kerim D&R'dan bir kitap ve bir dergi aldı.,Bir kaç gün sonra o kitabı Selin'e ödünç verdi.
17,SS_1NP_IN3_S_Def,Annem dün bir pasta yaptı.,Pasta çok büyük oldu.
18,SS_1NP_IN3_S_Dem,Annem dün bir pasta yaptı.,O pasta çok büyük oldu.
19,NS_1NP_IN3_O_Def,Annem dün bir pasta yaptı.,Kardeşim pastayı bugün okula götürdü.
20,NS_1NP_IN3_O_Dem,Annem dün bir pasta yaptı.,Kardeşim o pastayı bugün okula götürdü.
21,SS_2NP_IN3_S_Def,Annem dün bir börek ve bir pasta yaptı.,Pasta çok büyük oldu.
22,SS_2NP_IN3_S_Dem,Annem dün bir börek ve bir pasta yaptı.,O pasta çok büyük oldu.
23,NS_2NP_IN3_O_Def,Annem dün bir börek ve bir pasta yaptı.,Kardeşim pastayı bugün okula götürdü.
24,NS_2NP_IN3_O_Dem,Annem dün bir börek ve bir pasta yaptı.,Kardeşim o pastayı bugün okula götürdü.
25,SS_1NP_IN4_O_Def,Maya dün bir belgesel izledi.,Belgeseli çok beğendi.
26,SS_1NP_IN4_O_Dem,Maya dün bir belgesel izledi.,O belgeseli çok beğendi.
27,NS_1NP_IN4_O_Def,Maya dün bir belgesel izledi.,Belgeseli Maya'ya daha önce abisi tavsiye etmişti.
28,NS_1NP_IN4_O_Dem,Maya dün bir belgesel izledi.,O belgeseli Maya'ya daha önce abisi tavsiye etmişti.
29,SS_2NP_IN4_O_Def,Maya dün bir Türk dizisi ve bir belgesel izledi.,Belgeseli çok beğendi.
30,SS_2NP_IN4_O_Dem,Maya dün bir Türk dizisi ve bir belgesel izledi.,O belgeseli çok beğendi.
31,NS_2NP_IN4_O_Def,Maya dün bir Türk dizisi ve bir belgesel izledi.,Belgeseli Maya'ya daha önce abisi tavsiye etmişti.
32,NS_2NP_IN4_O_Dem,Maya dün bir Türk dizisi ve bir belgesel izledi.,O belgeseli Maya'ya daha önce abisi tavsiye etmişti.
33,SS_1NP_IN5_O_Def,Azra'ya doğum gününde bir bilgisayar oyunu hediye ettim.,Azra oyunu oynamak için çok sabırsızlandı.
34,SS_1NP_IN5_O_Dem,Azra'ya doğum gününde bir bilgisayar oyunu hediye ettim.,Azra o oyunu oynamak için çok sabırsızlandı.
35,NS_1NP_IN5_O_Def,Azra'ya doğum gününde bir bilgisayar oyunu hediye ettim.,Oyunu bugün sınıftan bir arkadaşına vermiş.
36,NS_1NP_IN5_O_Dem,Azra'ya doğum gününde bir bilgisayar oyunu hediye ettim.,O oyunu bugün sınıftan bir arkadaşına vermiş.
37,SS_2NP_IN5_O_Def,Azra'ya doğum gününde bir saat ve bir bilgisayar oyunu hediye ettim.,Azra oyunu oynamak için çok sabırsızlandı.
38,SS_2NP_IN5_O_Dem,Azra'ya doğum gününde bir saat ve bir bilgisayar oyunu hediye ettim.,Azra o oyunu oynamak için çok sabırsızlandı.
39,NS_2NP_IN5_O_Def,Azra'ya doğum gününde bir saat ve bir bilgisayar oyunu hediye ettim.,Oyunu bugün sınıftan bir arkadaşına vermiş.
40,NS_2NP_IN5_O_Dem,Azra'ya doğum gününde bir saat ve bir bilgisayar oyunu hediye ettim.,O oyunu bugün sınıftan bir arkadaşına vermiş.
41,SS_1NP_IN6_S_Def,Emre bir şiir yazdı.,Şiir çok uzun oldu.
42,SS_1NP_IN6_S_Dem,Emre bir şiir yazdı.,O şiir çok uzun oldu.
43,NS_1NP_IN6_O_Def,Emre bir hikaye yazdı.,Öğretmeni daha sonra  hikayeyi okul dergisinde yayınladı.
44,NS_1NP_IN6_O_Dem,Emre bir hikaye yazdı.,Öğretmeni daha sonra o hikayeyi okul dergisinde yayınladı.
45,SS_2NP_IN6_S_Def,Emre bir hikaye ve bir şiir yazdı.,Şiir çok uzun oldu.
46,SS_2NP_IN6_S_Dem,Emre bir hikaye ve bir şiir yazdı.,O şiir çok uzun oldu.
47,NS_2NP_IN6_O_Def,Emre bir hikaye ve bir şiir yazdı.,Öğretmeni daha sonra hikayeyi okul dergisinde yayınladı.
48,NS_2NP_IN6_O_Dem,Emre bir hikaye ve bir şiir yazdı.,Öğretmeni daha sonra o hikayeyi okul dergisinde yayınladı.
49,SS_1NP_AN1_S_Def,Bugün partiye Kerim'le birlikte bir gazeteci geldi.,Gazeteci çok üzgün görünüyordu.
50,SS_1NP_AN1_S_Dem,Bugün partiye Kerim'le birlikte bir gazeteci geldi.,O gazeteci çok üzgün görünüyordu.
