,Sentence Codes,Context sentence,Target sentence
1,SS_1NP_IN1_S_Def,张三在车库里发现了一面旗子。,旗子很干净。
2,SS_1NP_IN1_S_Dem,张三在车库里发现了一面旗子。,那面旗子很干净。
3,NS_1NP_IN1_O_Def,张三在车库里发现了一面旗子。,李四下个月要带旗子去学校。
4,NS_1NP_IN1_O_Dem,张三在车库里发现了一面旗子。,李四下个月要带那面旗子去学校。
5,SS_2NP_IN1_S_Def,张三在车库里发现了一面旗子和一条横幅。,旗子很干净。
6,SS_2NP_IN1_S_Dem,张三在车库里发现了一面旗子和一条横幅。,那面旗子很干净。
7,NS_2NP_IN1_O_Def,张三在车库里发现了一面旗子和一条横幅。,李四下个月要带旗子去学校。
8,NS_2NP_IN1_O_Dem,张三在车库里发现了一面旗子和一条横幅。,李四下个月要带那面旗子去学校。
9,SS_1NP_IN2_S_Def,小明买了一本书。,书很贵。
10,SS_1NP_IN2_S_Dem,小明买了一本书。,那本书很贵。
11,NS_1NP_IN2_O_Def,小明买了一本书。,小明下周要把书借给小红。
12,NS_1NP_IN2_O_Dem,小明买了一本书。,小明下周要把那本书借给小红。
13,SS_2NP_IN2_S_Def,小明买了一本杂志和一本书。,书很贵。
14,SS_2NP_IN2_S_Dem,小明买了一本杂志和一本书。,那本书很贵。
15,NS_2NP_IN2_O_Def,小明买了一本书和一本杂志。,小明下周要把书借给小红。
16,NS_2NP_IN2_O_Dem,小明买了一本书和一本杂志。,小明下周要把那本书借给小红。
17,SS_1NP_IN3_S_Def,王五上午烤了一个面包。,面包不太好吃。
18,SS_1NP_IN3_S_Dem,王五上午烤了一个面包。,那个面包不太好吃。
19,NS_1NP_IN3_O_Def,王五上午烤了一个面包。,王五的妹妹晚上吃掉了面包。
20,NS_1NP_IN3_O_Dem,王五上午烤了一个面包。,王五的妹妹晚上吃掉了那个面包。
21,SS_2NP_IN3_S_Def,王五上午烤了一个面包和一个蛋糕。,面包不太好吃。
22,SS_2NP_IN3_S_Dem,王五上午烤了一个面包和一个蛋糕。,那个面包不太好吃。
23,NS_2NP_IN3_O_Def,王五上午烤了一个面包和一个蛋糕。,王五的妹妹晚上吃掉了面包。
24,NS_2NP_IN3_O_Dem,王五上午烤了一个面包和一个蛋糕。,王五的妹妹晚上吃掉了那个面包。
25,SS_1NP_IN4_S_Def,小李昨天在家看了一部电影。,电影很无聊。
26,SS_1NP_IN4_S_Dem,小李昨天在家看了一部电影。,那部电影很无聊。
27,NS_1NP_IN4_O_Def,小李昨天在家看了一部电影。,小李的女朋友上个月已经看过电影了。
28,NS_1NP_IN4_O_Dem,小李昨天在家看了一部电影。,小李的女朋友上个月已经看过那部电影了。
29,SS_2NP_IN4_S_Def,小李昨天在家看了一部电影和一部纪录片。,电影很无聊。
30,SS_2NP_IN4_S_Dem,小李昨天在家看了一部电影和一部纪录片。,那部电影很无聊。
31,NS_2NP_IN4_O_Def,小李昨天在家看了一部纪录片和一部电影。,小李的女朋友上个月已经看过电影了。
32,NS_2NP_IN4_O_Dem,小李昨天在家看了一部纪录片和一部电影。,小李的女朋友上个月已经看过那部电影了。
33,SS_1NP_IN5_S_Def,小张去年生日晚会收到了一只手表。,手表不太好看。
34,SS_1NP_IN5_S_Dem,小张去年生日晚会收到了一只手表。,那只手表不太好看。
35,NS_1NP_IN5_O_Def,小张去年生日晚会收到了一只手表。,小张明天要把手表送给他的姐姐。
